x,y
-3.852957,4.243447
-3.837890,4.234385
-3.817612,4.228196
-3.792931,4.223864
-3.775088,4.229515
-3.762300,4.229035
-3.747824,4.227300
-3.733487,4.222643
-3.713022,4.219748
-3.693891,4.211450
-3.676106,4.200809
-3.651149,4.193240
-3.629592,4.180175
-3.621272,4.170644
-3.599721,4.152744
-3.572936,4.141188
-3.552541,4.123387
-3.529645,4.109993
-3.510506,4.091858
-3.486061,4.075576
-3.466245,4.052112
-3.437650,4.032329
-3.408999,4.011565
-3.382727,3.989191
-3.355660,3.963193
-3.324994,3.941224
-3.295196,3.922095
-3.268035,3.899181
-3.242522,3.879336
-3.204781,3.841999
-3.169452,3.814418
-3.147877,3.784232
-3.110297,3.765754
-3.094654,3.737143
-3.074537,3.710233
-3.052570,3.689892
-3.019946,3.678137
-2.981810,3.669053
-2.950075,3.659793
-2.927300,3.644995
-2.911408,3.627455
-2.888425,3.620408
-2.864600,3.617388
-2.840874,3.612006
-2.813106,3.606701
-2.782861,3.604612
-2.754626,3.602298
-2.727979,3.596057
-2.704563,3.587968
-2.672864,3.588620
-2.640183,3.586807
-2.610290,3.584912
-2.586432,3.582700
-2.558519,3.583049
-2.533144,3.577598
-2.503780,3.581778
-2.479481,3.579291
-2.456363,3.583158
-2.421861,3.590157
-2.385982,3.597285
-2.356370,3.600356
-2.322796,3.603813
-2.292570,3.605944
-2.254851,3.612907
-2.216609,3.620846
-2.179629,3.625151
-2.141288,3.633379
-2.097943,3.645807
-2.058970,3.656674
-2.019099,3.668196
-1.985312,3.674849
-1.945487,3.684498
-1.893835,3.700060
-1.851922,3.708800
-1.798642,3.718236
-1.739029,3.730282
-1.687334,3.733441
-1.632104,3.742280
-1.571543,3.748296
-1.510892,3.756194
-1.462176,3.756673
-1.390247,3.767661
-1.323602,3.775271
-1.272003,3.774793
-1.222528,3.774920
-1.161255,3.781713
-1.096147,3.789732
-1.039307,3.795866
-0.977752,3.801506
-0.917318,3.809001
-0.852545,3.817562
-0.784507,3.829997
-0.708996,3.844009
-0.639622,3.851885
-0.570623,3.864573
-0.480345,3.877137
-0.414897,3.881079
-0.336073,3.885424
-0.248559,3.891696
