[2025-09-02 17:04:28.350] [info] topic=vd/scatter, payload={"xy": [11.032069989075186, 0.9820666812942228], "xz": [11.032069989075186, 1.998227866197679]}
[2025-09-02 17:04:28.350] [info] topic=vd/scatter, payload={"xy": [10.997959216794538, 0.9236585959104341], "xz": [10.997959216794538, 2.000079145863837]}
[2025-09-02 17:04:28.350] [info] topic=vd/scatter, payload={"xy": [10.953591559823943, 0.8337545577037021], "xz": [10.953591559823943, 2.0008485736966692]}
[2025-09-02 17:04:28.350] [info] topic=vd/scatter, payload={"xy": [10.917778136641083, 0.7625257493261359], "xz": [10.917778136641083, 2.002504842411883]}
[2025-09-02 17:04:28.351] [info] topic=vd/scatter, payload={"xy": [10.881751530723214, 0.7249562730641533], "xz": [10.881751530723214, 2.002771101128684]}
[2025-09-02 17:04:28.351] [info] topic=vd/scatter, payload={"xy": [10.837502877162077, 0.719028033595719], "xz": [10.837502877162077, 2.003844171597318]}
[2025-09-02 17:04:28.351] [info] topic=vd/scatter, payload={"xy": [10.791515361792298, 0.7054742053190342], "xz": [10.791515361792298, 2.003233147132948]}
[2025-09-02 17:04:28.351] [info] topic=vd/scatter, payload={"xy": [10.753503994173279, 0.6711223661042202], "xz": [10.753503994173279, 2.003612402782297]}
[2025-09-02 17:04:28.352] [info] topic=vd/scatter, payload={"xy": [10.711867245580965, 0.643441920022431], "xz": [10.711867245580965, 2.003980482107145]}
[2025-09-02 17:04:28.352] [info] topic=vd/scatter, payload={"xy": [10.676032801224974, 0.6096910750539222], "xz": [10.676032801224974, 2.0045706275339614]}
[2025-09-02 17:04:28.352] [info] topic=vd/scatter, payload={"xy": [10.629365934396317, 0.57317365129336], "xz": [10.629365934396317, 2.0059169186256836]}
[2025-09-02 17:04:28.352] [info] topic=vd/scatter, payload={"xy": [10.599246926668613, 0.5144621119501124], "xz": [10.599246926668613, 2.007220709017024]}
[2025-09-02 17:04:28.352] [info] topic=vd/scatter, payload={"xy": [10.564311409241437, 0.47471460745881705], "xz": [10.564311409241437, 2.006890076043018]}
[2025-09-02 17:04:28.353] [info] topic=vd/scatter, payload={"xy": [10.527761736595307, 0.4324116661143451], "xz": [10.527761736595307, 2.0062994072688176]}
[2025-09-02 17:04:28.353] [info] topic=vd/scatter, payload={"xy": [10.493712110869106, 0.3713406699308651], "xz": [10.493712110869106, 2.0069901447582854]}
[2025-09-02 17:04:28.353] [info] topic=vd/scatter, payload={"xy": [10.461755014612294, 0.30199685058189585], "xz": [10.461755014612294, 2.0083573264685275]}
[2025-09-02 17:04:28.353] [info] topic=vd/scatter, payload={"xy": [10.431769076096646, 0.23293046644102572], "xz": [10.431769076096646, 2.0089059425196956]}
[2025-09-02 17:04:28.359] [info] topic=vd/scatter, payload={"xy": [10.403941708818047, 0.1808726214809453], "xz": [10.403941708818047, 2.009381654439106]}
[2025-09-02 17:04:28.360] [info] topic=vd/scatter, payload={"xy": [10.373663205316879, 0.12873722541030325], "xz": [10.373663205316879, 2.0094645798523945]}
[2025-09-02 17:04:28.360] [info] topic=vd/scatter, payload={"xy": [10.33725698668192, 0.04855052666469063], "xz": [10.33725698668192, 2.010376870284664]}
